ano,periodicidade,periodo,tipo
2014,MENSAL,7,Bancos e financeiras
2014,MENSAL,8,Bancos e financeiras
2014,MENSAL,9,Bancos e financeiras
2014,MENSAL,10,Bancos e financeiras
2014,MENSAL,11,Bancos e financeiras
2014,MENSAL,12,Bancos e financeiras
2014,SEMESTRAL,2,Bancos e financeiras
2014,SEMESTRAL,2,Consorcios
2015,MENSAL,1,Bancos e financeiras
2015,MENSAL,2,Bancos e financeiras
2015,MENSAL,3,Bancos e financeiras
2015,MENSAL,4,Bancos e financeiras
2015,MENSAL,5,Bancos e financeiras
2015,MENSAL,6,Bancos e financeiras
2015,MENSAL,7,Bancos e financeiras
2015,MENSAL,8,Bancos e financeiras
2015,MENSAL,9,Bancos e financeiras
2015,MENSAL,10,Bancos e financeiras
2015,MENSAL,11,Bancos e financeiras
2015,MENSAL,12,Bancos e financeiras
2015,SEMESTRAL,1,Bancos e financeiras
2015,SEMESTRAL,1,Consorcios
2015,SEMESTRAL,2,Bancos e financeiras
2015,SEMESTRAL,2,Consorcios
2016,BIMESTRAL,4,Bancos e financeiras
2016,BIMESTRAL,5,Bancos e financeiras
2016,BIMESTRAL,6,Bancos e financeiras
2016,MENSAL,1,Bancos e financeiras
2016,MENSAL,2,Bancos e financeiras
2016,MENSAL,3,Bancos e financeiras
2016,MENSAL,4,Bancos e financeiras
2016,MENSAL,5,Bancos e financeiras
2016,MENSAL,6,Bancos e financeiras
2016,SEMESTRAL,1,Bancos e financeiras
2016,SEMESTRAL,1,Consorcios
2016,SEMESTRAL,2,Bancos e financeiras
2016,SEMESTRAL,2,Consorcios
2017,SEMESTRAL,1,Consorcios
2017,SEMESTRAL,2,Consorcios
2017,TRIMESTRAL,1,Bancos e financeiras
2017,TRIMESTRAL,2,Bancos e financeiras
2017,TRIMESTRAL,3,Bancos e financeiras
2017,TRIMESTRAL,4,Bancos e financeiras
2018,SEMESTRAL,1,Consorcios
2018,SEMESTRAL,2,Consorcios
2018,TRIMESTRAL,1,Bancos e financeiras
2018,TRIMESTRAL,2,Bancos e financeiras
2018,TRIMESTRAL,3,Bancos e financeiras
2018,TRIMESTRAL,4,Bancos e financeiras
2019,SEMESTRAL,1,Consorcios
2019,SEMESTRAL,2,Consorcios
2019,TRIMESTRAL,1,Bancos e financeiras
2019,TRIMESTRAL,2,Bancos e financeiras
2019,TRIMESTRAL,3,Bancos e financeiras
2019,TRIMESTRAL,4,Bancos e financeiras
2020,SEMESTRAL,1,Consorcios
2020,SEMESTRAL,2,Consorcios
2020,TRIMESTRAL,1,Bancos e financeiras
2020,TRIMESTRAL,2,Bancos e financeiras
2020,TRIMESTRAL,3,Bancos e financeiras
2020,TRIMESTRAL,4,Bancos e financeiras
2021,SEMESTRAL,1,Consorcios
2021,SEMESTRAL,2,Consorcios
2021,TRIMESTRAL,1,Bancos e financeiras
2021,TRIMESTRAL,2,Bancos e financeiras
2021,TRIMESTRAL,3,Bancos e financeiras
2021,TRIMESTRAL,4,Bancos e financeiras
2022,SEMESTRAL,1,Consorcios
2022,SEMESTRAL,2,Consorcios
2022,TRIMESTRAL,1,Bancos e financeiras
2022,TRIMESTRAL,3,Bancos e financeiras
2022,TRIMESTRAL,4,Bancos e financeiras
2023,SEMESTRAL,1,Consorcios
2023,SEMESTRAL,2,Consorcios
2023,TRIMESTRAL,1,Bancos e financeiras
2023,TRIMESTRAL,2,Bancos e financeiras
2023,TRIMESTRAL,3,Bancos e financeiras
2023,TRIMESTRAL,4,Bancos e financeiras
2024,SEMESTRAL,1,Consorcios
2024,SEMESTRAL,2,Consorcios
2024,TRIMESTRAL,1,Bancos e financeiras
2024,TRIMESTRAL,2,Bancos e financeiras
2024,TRIMESTRAL,3,Bancos e financeiras
2024,TRIMESTRAL,4,Bancos e financeiras
2025,SEMESTRAL,1,Consorcios
2025,SEMESTRAL,2,Consorcios
2025,TRIMESTRAL,1,Bancos e financeiras
2025,TRIMESTRAL,2,Bancos e financeiras
2025,TRIMESTRAL,3,Bancos e financeiras
2025,TRIMESTRAL,4,Bancos e financeiras
2026,SEMESTRAL,1,Consorcios
2026,TRIMESTRAL,1,Bancos e financeiras
2026,TRIMESTRAL,2,Bancos e financeiras
